observed_at,stage,host,port,protocol,decision,reason
2026-07-26T08:08:46Z,probe,127.0.0.1,19762,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19763,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19764,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19765,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19766,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19767,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19768,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19769,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19770,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19771,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19772,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19773,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19774,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19775,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19776,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19777,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19778,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19779,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19780,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19781,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19782,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19783,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19784,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19785,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19786,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19787,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19788,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19789,tcp,deny,out of scope
